cenario_id,product_id,nome,artes_gratis,tipo,status_console,reconferido_em,referencia_codigo,entrega_mvp,artes_declaradas,artes_com_fundo_local,artes_sem_fundo_local
mesquita,cenario_mesquita,Pátio da mesquita,,compra_unica_nao_consumivel,nao_verificado,2026-09-18,a61c387,embarcada,pixel;aqua;ukiyoe;vangogh,pixel,aqua;ukiyoe;vangogh
himalaia,cenario_himalaia,Mosteiro da montanha,,compra_unica_nao_consumivel,nao_verificado,2026-09-18,a61c387,embarcada,pixel;aqua;ukiyoe;vangogh,pixel,aqua;ukiyoe;vangogh
recife,cenario_recife,Naufrágio no coral,,compra_unica_nao_consumivel,nao_verificado,2026-09-18,a61c387,embarcada,pixel,pixel,
ogro,cenario_ogro,Casa no tronco,,compra_unica_nao_consumivel,nao_verificado,2026-09-18,a61c387,embarcada,pixel;aqua;ukiyoe;vangogh,pixel,aqua;ukiyoe;vangogh
rio,cenario_rio,Mirante da baía,,compra_unica_nao_consumivel,nao_verificado,2026-09-18,a61c387,embarcada,pixel;aqua;ukiyoe;vangogh,pixel,aqua;ukiyoe;vangogh
torii,cenario_torii,Torii no lago,,compra_unica_nao_consumivel,nao_verificado,2026-09-18,a61c387,embarcada,pixel;aqua;ukiyoe;vangogh,pixel,aqua;ukiyoe;vangogh
vigia,cenario_vigia,Torre de vigia,,compra_unica_nao_consumivel,nao_verificado,2026-09-18,a61c387,embarcada,pixel;aqua;ukiyoe;vangogh,pixel,aqua;ukiyoe;vangogh
esfinge,cenario_esfinge,Esfinge,vangogh,compra_unica_nao_consumivel,nao_verificado,2026-09-18,a61c387,embarcada,pixel;gizcera;needlefelting;ukiyoe;vangogh;xilogravura,pixel;vangogh,gizcera;needlefelting;ukiyoe;xilogravura
sitio,cenario_sitio,Celeiro vermelho,,compra_unica_nao_consumivel,nao_verificado,2026-09-18,a61c387,embarcada,pixel;clau;impamer;impressionista;pixel2;suburbano;vangogh;xilogravura,pixel,clau;impamer;impressionista;pixel2;suburbano;vangogh;xilogravura
savana,cenario_savana,Savana,,compra_unica_nao_consumivel,nao_verificado,2026-09-18,a61c387,embarcada,pixel;clay;impressionista;papelmache;point;rupestre;ukiyoe,pixel,clay;impressionista;papelmache;point;rupestre;ukiyoe
oasis,cenario_oasis,Oásis,,compra_unica_nao_consumivel,nao_verificado,2026-09-18,a61c387,embarcada,pixel;clay;clay2;gizcera;papercutout;pixel2;xilogravura,pixel,clay;clay2;gizcera;papercutout;pixel2;xilogravura
elfico,cenario_elfico,Refúgio élfico,,compra_unica_nao_consumivel,nao_verificado,2026-09-18,a61c387,embarcada,pixel;cartoon;clay;gizcera;lowpoly;sfumato;vangogh,pixel,cartoon;clay;gizcera;lowpoly;sfumato;vangogh
postapoc,cenario_postapoc,Cidade tomada,,compra_unica_nao_consumivel,nao_verificado,2026-09-18,a61c387,embarcada,pixel;cozy;iso;needlefelting;papercutout;vangogh,pixel,cozy;iso;needlefelting;papercutout;vangogh
navio,cenario_navio,Navio viking,,compra_unica_nao_consumivel,nao_verificado,2026-09-18,a61c387,embarcada,pixel;longe,pixel,longe
castelo,cenario_castelo,Castelo na Montanha,,compra_unica_nao_consumivel,nao_verificado,2026-09-18,a61c387,embarcada,pixel;clay;doodle;doodle2;needlefelting;papelmache,pixel,clay;doodle;doodle2;needlefelting;papelmache
beco,cenario_beco,Beco japonês,,compra_unica_nao_consumivel,nao_verificado,2026-09-18,a61c387,embarcada,pixel;noite;chibi;kodomo;seinen;impressionista;ukiyoe,pixel,chibi;impressionista;kodomo;noite;seinen;ukiyoe
templo,cenario_templo,Templo grego,,compra_unica_nao_consumivel,nao_verificado,2026-09-18,a61c387,embarcada,pixel;clay;cozy;lowpoly;point;point2;ukiyoe;vivid,pixel,clay;cozy;lowpoly;point;point2;ukiyoe;vivid
vale,cenario_vale,Vale alpino,,compra_unica_nao_consumivel,nao_verificado,2026-09-18,a61c387,embarcada,pixel;cartoon;clay;impressionista;lowpoly;papercutout,pixel,cartoon;clay;impressionista;lowpoly;papercutout
muralha,cenario_muralha,Muralha da China,,compra_unica_nao_consumivel,nao_verificado,2026-09-18,a61c387,embarcada,pixel;pixel2;clay;doodle;doodleinf;point;point2;vangogh,pixel,clay;doodle;doodleinf;pixel2;point;point2;vangogh
jardim,cenario_jardim,Jardim japonês,ukiyoe,compra_unica_nao_consumivel,nao_verificado,2026-09-18,a61c387,embarcada,pixel;pixel2;clay;needlefelting;doodle;ukiyoe,pixel;ukiyoe,clay;doodle;needlefelting;pixel2
pantano,cenario_pantano,Pântano de névoa,,compra_unica_nao_consumivel,nao_verificado,2026-09-18,a61c387,embarcada,pixel,pixel,
farol,cenario_farol,Farol,,compra_unica_nao_consumivel,nao_verificado,2026-09-18,a61c387,embarcada,pixel,pixel,
praia,cenario_praia,Praia tropical,,compra_unica_nao_consumivel,nao_verificado,2026-09-18,a61c387,embarcada,pixel,pixel,
duomo,cenario_duomo,Duomo,,compra_unica_nao_consumivel,nao_verificado,2026-09-18,a61c387,embarcada,pixel;aqua;ukiyoe;vangogh,pixel,aqua;ukiyoe;vangogh
coliseu,cenario_coliseu,Coliseu,,compra_unica_nao_consumivel,nao_verificado,2026-09-18,a61c387,embarcada,pixel;aqua;ukiyoe;vangogh,pixel,aqua;ukiyoe;vangogh
notredame,cenario_notredame,Notre Dame,,compra_unica_nao_consumivel,nao_verificado,2026-09-18,a61c387,embarcada,pixel;aqua;ukiyoe;vangogh,pixel,aqua;ukiyoe;vangogh
cidadeproibida,cenario_cidadeproibida,Cidade Proibida,,compra_unica_nao_consumivel,nao_verificado,2026-09-18,a61c387,embarcada,pixel;aqua;ukiyoe;vangogh,pixel,aqua;ukiyoe;vangogh
timessquare,cenario_novayork,Nova York,,compra_unica_nao_consumivel,nao_verificado,2026-09-18,a61c387,embarcada,pixel;aqua;ukiyoe;vangogh,pixel,aqua;ukiyoe;vangogh
pizzaria,cenario_pizzaria,Mesa no beco italiano,,compra_unica_nao_consumivel,nao_verificado,2026-09-18,a61c387,embarcada,pixel;aqua;ukiyoe;vangogh,pixel,aqua;ukiyoe;vangogh
vilaviking,cenario_vilaviking,Vila viking,,compra_unica_nao_consumivel,nao_verificado,2026-09-18,a61c387,embarcada,pixel;aqua;ukiyoe;vangogh,pixel,aqua;ukiyoe;vangogh
apefino,cenario_apefino,Sala com vista,,compra_unica_nao_consumivel,nao_verificado,2026-09-18,a61c387,embarcada,pixel;aqua;ukiyoe;vangogh,pixel,aqua;ukiyoe;vangogh
